PID,task_no,bug,condition,correct,buggy_min,other_min,total_fix_min,buggy_propfix,other_propfix,source_propfix
P30,1,chart12,correct,Y,0.49444106038411456,0.42819027506510415,2.42081455078125,0.20424574043664254,0.1768785944081994,0.3811243348448419
P30,2,lang10,control,N,0.21333212890625,6.60176934000651,16.469353824869792,0.012953278627368165,0.400851752303567,0.41380503093093524
P30,3,math50,overfitting,N,1.1391595174153646,0.006527714029947917,4.001227079264323,0.28470254120763716,0.0016314280346088532,0.286333969242246
P31,1,chart12,control,Y,0.6288848836263021,0.49291289876302086,1.7952650960286458,0.35030196098474553,0.2745627371987606,0.6248646981835062
P31,2,math33,correct,Y,1.703045772298177,4.024420943196614,7.505648217773437,0.22690189080076395,0.5361856599762765,0.7630875507770405
P31,3,math50,overfitting,N,2.8183158040364584,3.271368981933594,10.692298791503907,0.2635837118839113,0.3059556271035955,0.5695393389875066
P32,1,math50,control,Y,1.7311022298177083,4.472334655761719,9.831329764811198,0.17608017137353674,0.45490638222403335,0.63098655359757
P32,3,math63,correct,Y,1.6117981038411457,0.38194221598307293,2.4329046020507814,0.6624995088103759,0.1569902147667937,0.8194897235771696
P33,1,chart12,overfitting,N,0.0,0.41874638264973957,3.4715038736979165,0.0,0.12062391340606007,0.12062391340606007
P33,2,lang10,control,N,0.0,0.9352721638997396,16.112263549804688,0.0,0.05804722353310047,0.05804722353310047
P33,3,math63,correct,Y,2.072765234375,0.8206897827148437,9.24730498046875,0.22414803434653569,0.08874907710389396,0.31289711145042964
P34,1,math63,overfitting,Y,6.759959871419271,1.114158642578125,12.294787829589843,0.5498232230693797,0.09062040419247264,0.6404436272618523
P34,2,chart12,correct,Y,1.5606853068033855,1.4004094116210937,5.687050911458333,0.2744278767856464,0.24624527429489568,0.5206731510805421
P34,3,math33,control,N,0.0,11.011194120279947,18.001293880208333,0.0,0.6116890371078433,0.6116890371078433
P35,1,lang10,correct,Y,5.392886319986979,1.1851310180664063,12.2954806640625,0.43860719782589913,0.09638753054448153,0.5349947283703806
P35,2,math33,overfitting,N,2.936926493326823,2.393597216796875,9.77674591064453,0.3003991839584595,0.244825552251575,0.5452247362100345
P35,3,math50,control,N,4.718582792154948,4.642889497884115,14.070194421386718,0.33536016993359347,0.32998047921974094,0.6653406491533345
P36,1,math63,correct,N,5.498992850748698,0.4140253580729167,14.13560556233724,0.3890171401924341,0.029289538127467388,0.41830667831990154
P36,2,chart12,control,Y,0.6879113566080729,0.41430283203125,2.9802558634440106,0.23082291861112766,0.13901586005185404,0.3698387786629817
P36,3,math33,overfitting,N,0.0,0.40291336669921873,15.385325634765625,0.0,0.026188159826059904,0.026188159826059904
P37,1,chart12,control,Y,3.866922676595052,6.466074076334635,13.949362227376302,0.27721143186073616,0.4635390472293171,0.7407504790900533
P37,2,lang10,correct,N,0.925411250813802,4.134703059895833,16.67255538736979,0.05550506381972152,0.2479945613512885,0.30349962517101003
P37,3,math50,overfitting,N,5.54191767578125,4.790808866373698,17.800739453125,0.31133075625172085,0.2691353850209099,0.5804661412726307
